"text","valence","dominance","arousal"
"Remember what she said in my last letter? """,NA,1,NA
"If I wasn't working here.",0,0,NA
"..""",NA,NA,NA
"Goodwill helps people get off of public assistance.",1,1,NA
"Sherry learned through our Future Works class that she could rise out of the mire of the welfare system and support her family.",1,1,1
"Coming to Goodwill was the first step toward my becoming totally independent.",1,1,1
"I am now... totally off of welfare.""",NA,NA,NA
"Goodwill prepares people for life-long employment.",1,NA,NA
"Here's another story of success from what might seem like an unlikely source: Goodwill's controller, Juli.",1,NA,0
"Cornell found a number of employment options that he never dreamed existed after a work-site injury forced him out of his job at a foundry.",1,1,NA
"He trained in desktop publishing and combined his enthusiastic work ethic with new-found skills in a burgeoning industry. """,1,1,0
"Dear ,",NA,NA,0
"I've got more than a job; I've got a career.""",1,1,1
"After a lifetime of trials, Donna not only earned her GED at Goodwill, she earned a job here. """,1,1,1
"I rode a bike to Goodwill in the rain and snow.",0,1,NA
"I wanted to be there.",0,0,1
"..I had my second chance to change my life.""",1,1,1
"Your gift to Goodwill will help the many people who want to tell their own stories of success.",1,1,1
"Your support will help them go to work.",1,1,1
"Please use the enclosed envelope to give a generous gift to Goodwill today!",1,1,1
"Sincerely,",1,1,0
"William A Carter, Chairman Goodwill Industries Foundation",1,1,0
"P.S.",NA,NA,0
"Your gift is a wise investment in the community.",1,1,0
"For every dollar donated to Goodwill in 1998, we helped our ""graduates"" earn an estimated $102.",1,1,1
"That money was then spent in a variety of ways, adding fuel to our thriving economy.",1,1,1
"She tells me that the 3,666 people we helped find jobs in 1998 earned approximately $49 million dollars.",1,1,NA
"A few months ago you received a letter from me telling the success stories of people who got jobs with Goodwill's help.",1,NA,NA
"In addition to that, by helping them find jobs, Goodwill reduced the state's Public Support tab by an estimated $4 million.",1,1,1
"Your gift to Goodwill will help us do even more this year because your gift will be used to directly support our work.",1,1,0
"What kind of work does Goodwill do?",NA,0,0
"Goodwill finds jobs for people with mental and physical disabilities.",1,NA,NA
"After Maureen's job coach taught her how to do her job in a restaurant, we helped Maureen step out of the shadow sometimes cast over people with physical and mental disabilities and find a fulfilling job smack dab in the middle of society.",1,1,1
"Every time we help someone find a solution to their employment barrier, the positive effects radiate throughout our community:",1,1,1
"The business community welcomes not only another worker, but a consumer with increased purchasing power.",1,NA,1
"Parents act as role models of self-sufficiency instead of dependency.",NA,1,0
"Tax dollars that would have been spent on public assistance are saved.",1,NA,NA
"You and I know that solutions to difficult problems don't just happen.",0,1,0
"At Goodwill, it is the hard work of staff and those who benefit from our services that produces the kind of inspiring results I see every day:",1,1,1
"A Goodwill staff member addresses a group of welfare recipients:",NA,1,0
"""You can earn the money to support yourself and your family,"" she says.",NA,1,0
"November 15, 1996",1,NA,NA
"""You can get off welfare.",NA,1,NA
"I know you can...",1,1,NA
"I did.""",1,1,NA
"A participant in a Goodwill program rushes back from a job interview to share the results with his classmates in our desktop publishing training program.",NA,1,0
"His job objectives call for him to do it in 30.",0,1,0
"once his tears have subsided, he confirms what his classmates have already figured out: he just received a job offer -- his first in five years.",1,1,1
"Addressing a meeting at a neighborhood center, a Goodwill staff member tells the audience how Goodwill can help them find and keep jobs.",1,1,NA
"At the next corner he tells five more.",1,NA,0
"In order to develop job skills, a man with some serious disabilities begins working in Goodwill's industrial division.",1,NA,0
"He has no time to waste.",0,1,1
"It takes a long time for him to gain the self-confidence to work elsewhere in the community.",0,0,0
"Eventually, he turns your support into a payoff for all of us.",1,1,NA
"He proudly leaves Goodwill to support himself.",1,1,1
"These people and their successes are real.",1,1,1
"Neither do we.",NA,1,NA
"Just like the respect we've earned from U.S. News & World Report.",NA,NA,0
"With the help of friends like you, Goodwill has continued to adapt our services to meet the human needs of our changing society.",1,1,NA
"Real work.",NA,1,NA
"Real results.",NA,NA,0
"A real difference in people's lives -- in all of our lives.",1,NA,1
"The people who can benefit most directly from your generosity have no time to waste.",1,1,1
"Neither do the rest of us who feel the positive results of their success.",1,1,1
"Your support helps provide real solutions.",1,NA,0
"Please use the enclosed response card and envelope to give generously to Goodwill today.",NA,NA,NA
"Sincerely,",1,NA,0
"Jack Dustman Board Member and Former Chairman",NA,NA,0
"We don't waste time as we are helping the community.",1,1,1
"And we don't waste money.",1,1,NA
"The gift that I am asking you to make will be used to continue our mission of helping people prepare for, find and keep jobs.",1,0,NA
"In their December, 1995 review of the nation's best charities, U.S. News & World Report called Goodwill one of the five ""Standout Good Guys.""",1,1,1
"In the short while since Goodwill helped him find his job, Robert has learned to thoroughly clean a motel room in about 40 minutes.",1,1,NA
"The magazine stated that Goodwill (as well as the other standouts) is ""uniquely effective, innovative or valuable.""",1,1,NA
"While I appreciate U.S. News & World Report's endorsement, the true value of your support is measured by the way Goodwill takes on problems that affect all of us.",0,NA,1
"And there are a lot of people who face these challenges every day of their lives.",0,NA,NA
"So our work must continue.",1,1,NA
"Everyone benefits from the work we do together.",1,NA,0
"Many people need our help.",0,NA,NA
"Please continue our important partnership.",NA,NA,NA
"Support Goodwill with a generous donation today.",1,1,NA
"Sincerely,",NA,0,0
"James M. McClelland President",NA,1,0
"We've helped people break free of the welfare cycle.",1,1,NA
"We've found ways for people with disabilities to enter the workforce.",1,1,1
"December 10, 1996",NA,0,0
"We've expanded Goodwill's proven methods to towns and neighborhoods where they are needed most.",1,NA,NA
"Of course, we've played different roles.",1,NA,NA
"You have helped make Goodwill's work possible with your previous support.",1,NA,0
"Dear Mailhouse donor reminder:",NA,NA,NA
"Goodwill has devised the programs that turned your investment into results.",1,NA,0
"Who has benefited from our partnership?",NA,NA,1
"Everyone has.",0,NA,NA
"When you and I help somebody find a job, one more person joins the ranks of tax payers, fewer tax dollars are spent on public assistance and businesses gain another consumer.",1,1,NA
"You and I have done some important work together.",1,NA,NA
"There are a lot of barriers that keep people from working: physical and mental disabilities, history of welfare dependency and lack of education or self-esteem.",0,1,0
"At last, he has found success in a job that he loves.",1,1,1
"Now his goals are set on moving up in the company.",1,NA,NA
"Every year, thousands of people come to Goodwill.",1,1,1
"Like Michael, they share two common characteristics.",0,1,1
"They face some barrier to employment and they want to work.",NA,NA,0
"With support from people like you, they can overcome their barriers and earn success and the self-sufficiency that comes with it.",1,1,1
"And then the pay-off begins for the entire community.",1,1,NA
"Last year, participants in Goodwill programs earned --and paid taxes on -- wages of nearly $3.5 million.",1,NA,NA
"Michael Sims felt that way at age 39 -- the day he earned a job.",1,NA,1
"Their successes at work also saved taxpayers more than three-quarters of a million dollars in public assistance.",1,1,0
"November 15, 1994",NA,0,0
"The savings are counted in more ways than dollars and cents, however.",NA,1,0
"The families of the new wage earners may feel the accomplishment in terms of a house to live in, money to purchase food -- without food stamps -- and the beginning of a family focused on success, not hopelessness.",1,NA,0
"Won't you help make all of these successes possible?",NA,NA,1
"Please send the largest contribution you can comfortably make.",0,1,0
"Your gift will help give new meaning to the word success -- for people who have seldom had reason to use the word.",1,NA,1
"Michael was born with cerebral palsy.",0,0,1
"Sincerely,",1,NA,NA
"James M. McClelland President",NA,NA,NA
"P.S.",NA,NA,0
"Your gift will make a difference.",1,1,1
"For every dollar of public support Goodwill received last year, we returned $1.59 to the community in the form of earned wages and reduced public assistance payments.",1,1,1
"Upon entering the work force, he discovered few job opportunities that seemed to match his abilities.",1,NA,1
"For several years he performed packaging and clerical work.",NA,NA,0
"Dear ,",NA,NA,NA
"His most recent job lasted only a year before cut-backs eliminated his position.",0,0,NA
"For 18 long months Michael could not find a job.",0,0,1
"Think of your greatest accomplishments.",1,1,NA
"He resorted to public assistance dollars to survive.",0,NA,NA
"Finally, Michael called Goodwill.",1,NA,NA
"At Goodwill, Michael's counselors felt that his personable demeanor could be a major attribute and identified for him a possible job-match where his people skills could shine.",1,NA,NA
"After three interviews, Michael proved that he was the right person for the job.",1,1,NA
"Think of the joy and success they bring to you and your loved ones.",1,1,1
"As the Clubhouse Monitor at Bent Tree Apartments, he now provides customer service for 50 to 60 tenants each night.",1,NA,0
"Their complaint: the system discourages working because unemployment provides benefits that many entry-level jobs don't include.",0,0,NA
"Some of the strongest critics of our welfare system are the people who have become dependent on it.",NA,0,0
"That's where you --and Goodwill --come in.",1,1,NA
"We help people train for and find jobs that make it possible for them to get off of welfare.",1,0,0
"Last year, Goodwill placed 511 people in jobs, more than double the number we placed in 1993.",1,1,1
"While the debate on welfare reform is gathering like a storm at sea, the people who need jobs are floundering.",0,0,NA
"We need your support to continue getting people off of public assistance.",1,NA,0
"Welfare is not the answer.",0,NA,NA
"And welfare reform is an uncertain solution with an unknown starting date.",0,0,NA
"Goodwill works.",1,1,1
"Right now.",0,1,NA
"Please give the largest gift you can to Goodwill today.",1,NA,NA
"Sincerely, Jack Dustman Chairman",NA,NA,0
"With unemployment at its lowest point in years in central Indiana, many people still have a hard time finding meaningful employment.",0,0,NA
"Some, like Jerry, are ex-offenders.",0,NA,0
"Some are blind, deaf or have other physical disabilities.",0,NA,NA
"More than 100 were homeless.",0,0,NA
"But Goodwill offers hope even to people with numerous obstacles to overcome, like Jerry.",1,1,1
"With a promising new job at a plastic injection molding manufacturer, his legal troubles in check and a safe place to live, Jerry can get on with the business of building a life for himself and contributing to his community.",1,1,NA
"March 17, 2000",NA,NA,0
"For as long as he needs it, Goodwill will continue to help.",NA,0,0
"He knew he had made a bad mistake, but despite his commitment to rebuilding his life, he just didn't count on the obstacles that would be thrown up in his path.",0,0,NA
"Your support of Goodwill will provide job training and placement services to help the hardest to serve in central Indiana find meaningful employment.",1,NA,0
"And, with your assistance, Goodwill can help employers develop resources to keep workers on the job.",1,0,0
"Please make an investment in the stability of our community by sending a gift to Goodwill.",1,1,0
"Your generosity will help people help themselves.",1,NA,1
"Sincerely,",1,1,1
"James M. McClelland President",NA,NA,0
"Reality hit when he was unable to reconcile with his wife and ended up on the street.",0,0,1
"Name Address City, ST, Zip",NA,NA,0
"He went to the Center Township Trustee for food stamps until he could find a job and a place to live.",NA,NA,NA
"The Trustee referred him to the Blue Triangle where he consulted Goodwill's Career Academy staff for job search assistance.",1,NA,NA
"Dear Name:",NA,NA,0
"Jerry's Goodwill caseworker found him a job immediately.",1,NA,NA
"But Jerry's troubles didn't end there.",0,NA,1
"The seasonal construction job he obtained soon ended, and he returned to Career Academy for help once more.",0,NA,NA
"When Jerry was released from prison, he knew it would take hard work and determination to straighten out his life.",NA,1,0
"Unemployed, homeless and with a prison record, Jerry now faced going back to prison for failure to pay child support.",0,0,NA
"Such fund are often used for college tuition, vocational training or a deposit on an apartment.",NA,NA,NA
"Without private donor support, this Fund doesn't exist.",0,0,1
